CommitHash,Author,Date,Message,FilesChanged
04d750509b90da728e53aee8d7516426e5a1a293,dependabot[bot],2026-05-04T14:42:06-07:00,"Bump https://github.com/astral-sh/ruff-pre-commit (#7411)

Bumps the pre-commit group with 1 update: [https://github.com/astral-sh/ruff-pre-commit](https://github.com/astral-sh/ruff-pre-commit).


Updates `https://github.com/astral-sh/ruff-pre-commit` from v0.15.11 to 0.15.12
- [Release notes](https://github.com/astral-sh/ruff-pre-commit/releases)
- [Commits](https://github.com/astral-sh/ruff-pre-commit/compare/v0.15.11...v0.15.12)

---
updated-dependencies:
- dependency-name: https://github.com/astral-sh/ruff-pre-commit
  dependency-version: 0.15.12
  dependency-type: direct:production
  dependency-group: pre-commit
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",['.pre-commit-config.yaml']
f7822f7c4185b45527f171095c4edf8777efe51b,Nate Prewitt,2026-05-03T12:51:27-07:00,v2.34.0.dev1,"['HISTORY.md', 'src/requests/__version__.py']"
561e4b6889f53584c39a67f8794c53a414f68481,Nate Prewitt,2026-05-03T12:38:48-07:00,Add inline types to Requests (#7272),"['.github/workflows/typecheck.yml', 'pyproject.toml', 'src/requests/__init__.py', 'src/requests/_internal_utils.py', 'src/requests/_types.py', 'src/requests/adapters.py', 'src/requests/api.py', 'src/requests/auth.py', 'src/requests/compat.py', 'src/requests/cookies.py', 'src/requests/exceptions.py', 'src/requests/help.py', 'src/requests/hooks.py', 'src/requests/models.py', 'src/requests/py.typed', 'src/requests/sessions.py', 'src/requests/status_codes.py', 'src/requests/structures.py', 'src/requests/utils.py', 'tests/test_requests.py']"
8f6cda9969f4a98c45ea2922f6bcbefc02256202,Nate Prewitt,2026-04-30T10:05:37-07:00,Add tests for hasattr/getattr usage on LookupDict (#7401),['tests/test_structures.py']
27e0981962d355b9532256f4dcb3d42f64b04d9c,Dimitri Papadopoulos Orfanos,2026-04-30T07:35:13-07:00,Fix remaining typos (#7395),"['src/requests/adapters.py', 'tests/test_requests.py']"
6ec76b4a36fba4a32fb72f5f9ba04e632635e477,Dimitri Papadopoulos Orfanos,2026-04-27T08:08:18-07:00,Ruff rule UP038 has been removed (#7393),['pyproject.toml']
f43f750ee10addbaa13901c1017631b4d70fd6e3,dependabot[bot],2026-04-24T08:19:25-06:00,Bump https://github.com/astral-sh/ruff-pre-commit (#7390),['.pre-commit-config.yaml']
9450dd51fb423c17f01325d5f23e62b0450696c6,Nate Prewitt,2026-04-24T05:52:01-05:00,Create groups for GHA and pre-commit dependabot PRs (#7387),['.github/dependabot.yml']
93bf5331a70cd2c77ac3ba43f85c918cae67c69f,Nate Prewitt,2026-04-23T13:53:48-07:00,Update index.rst to match README info (#7386),['docs/index.rst']
79f4df84cf77a2fee873809821dfbd786de05b97,dependabot[bot],2026-04-20T12:32:32-07:00,"Bump pypa/gh-action-pypi-publish from 1.13.0 to 1.14.0 (#7378)

Bumps [pypa/gh-action-pypi-publish](https://github.com/pypa/gh-action-pypi-publish) from 1.13.0 to 1.14.0.
- [Release notes](https://github.com/pypa/gh-action-pypi-publish/releases)
- [Commits](https://github.com/pypa/gh-action-pypi-publish/compare/ed0c53931b1dc9bd32cbe73a98c7f6766f8a527e...cef221092ed1bacb1cc03d23a2d87d1d172e277b)

---
updated-dependencies:
- dependency-name: pypa/gh-action-pypi-publish
  dependency-version: 1.14.0
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",['.github/workflows/publish.yml']
b294b08fe3b08df9f646f64d1250f96193dab066,Dejan SANADER,2026-04-20T09:24:32-07:00,Consider urllib3 version has 3 numbers at most (#7375) (#7376),['src/requests/__init__.py']
5f3ff9b9e4d3d44960467e7877e06e9efa22f20b,Christian Clauss,2026-04-19T11:34:20-07:00,Fix typos discovered by codespell (#7371),['tests/test_requests.py']
514c1623fefff760bfa15a693aa38e474aba8560,Nate Prewitt,2026-04-15T11:30:57-07:00,Update README and remove extraneous images (#7366),"['README.md', 'ext/flower-of-life.jpg', 'ext/kr-compressed.png', 'ext/psf-compressed.png', 'ext/ss-compressed.png', 'ext/ss.png']"
d2f6bdecc835475c3cfbb83565ea879d7b2712ca,Chris Riches,2026-04-15T08:06:46-07:00,"Clarify decode_unicode behaviour in iter_{content,lines} docstrings (#7365)",['src/requests/models.py']
a044b020dea43230585126901684a0f30ec635a8,Nate Prewitt,2026-04-15T07:56:38-07:00,Move DigestAuth hash algorithms to use usedforsecurity=False (#7310),['src/requests/auth.py']
16df2a09173b17a82d607c31a6826b7c5dd0fc57,Nate Prewitt,2026-04-14T20:04:46-07:00,Move pytest pin to support 9.x series (#7364),['requirements-dev.txt']
fe2063be0cfbc08150ef468ae57a708c2514a321,Nate Prewitt,2026-04-14T10:58:28-07:00,Don't hide navigation on mobile webpage (#7360),['docs/_static/custom.css']
4b0b1a3e9f2fc21b9dcd8b906f2ff02645aa697e,Nate Prewitt,2026-04-11T19:05:37-05:00,"Update pre-commit versions (#7348)

* Update pre-commit versions

* Add dependabot entry for pre-commit

* Update pre-commit and ruff hooks","['.github/dependabot.yml', '.pre-commit-config.yaml']"
185f587a78e2d2df31ae8af8c95d97a012213df7,Nate Prewitt,2026-04-11T13:39:24-06:00,Cleanup docs and add i18n wrappers (#7354),"['docs/_static/custom.css', 'docs/_templates/hacks.html', 'docs/_templates/sidebar.html', 'docs/_templates/sidebarintro.html', 'docs/_templates/sidebarlogo.html', 'docs/conf.py']"
ef439eb779c1eba7cbdeeeb302b11e1e061b4b7d,Nate Prewitt,2026-04-05T08:31:02-07:00,Prevent Response self-reference in redirect history (#7328),"['src/requests/sessions.py', 'tests/test_requests.py']"
cbce031327be4f1b4b5fd041ff4dcaa8efa2ce53,Nate Prewitt,2026-03-31T21:28:16-05:00,Add Zizmor workflow and make initial updates,"['.github/dependabot.yml', '.github/workflows/close-issues.yml', '.github/workflows/codeql-analysis.yml', '.github/workflows/lint.yml', '.github/workflows/run-tests.yml', '.github/workflows/zizmor.yml']"
6360477c52303c9445b45fa8744b02d05a2f0905,dependabot[bot],2026-03-30T12:33:02-06:00,"Bump github/codeql-action from 4.34.1 to 4.35.1

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 4.34.1 to 4.35.1.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/38697555549f1db7851b81482ff19f1fa5c4fedc...c10b8064de6f491fea524254123dbe5e09572f13)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 4.35.1
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",['.github/workflows/codeql-analysis.yml']
111d2b77790bf49943c0dfa09b365371c24aec7e,Nate Prewitt,2026-03-30T09:07:00-07:00,v2.33.1,"['HISTORY.md', 'src/requests/__version__.py']"
f0198e6dfc431a2293dc16e1b1e8fcddc910a7f3,Nate Prewitt,2026-03-30T08:27:35-07:00,Fix malformed value parsing for Content-Type (#7309),"['src/requests/utils.py', 'tests/test_utils.py']"
bc7dd0fc4d56e808bcdd85ac2d797b3107c89259,Nate Prewitt,2026-03-30T08:24:49-07:00,Fix cosmetic header validity parsing regex (#7308),"['src/requests/_internal_utils.py', 'tests/test_requests.py']"
4443b1a847b190010c2972a658924b98b5db6360,Nate Prewitt,2026-03-30T08:23:00-07:00,Fix unintended test extra (#7306),['pyproject.toml']
389eea58dfb2f2ee096421a812e3af29c0298951,Nate Prewitt,2026-03-30T08:21:38-07:00,Cleanup extracted file after extract_zipped_path test (#7305),['tests/test_utils.py']
7407309c8a8a73aa2f4337184025d440bbedab7a,Frank Dana,2026-03-29T21:07:31-07:00,Packaging: DRY out extras definition (#7277),['pyproject.toml']
bc04dfd6dad4cb02cd92f5daa81eb562d280a761,Nate Prewitt,2026-03-25T08:06:17-07:00,v2.33.0,"['HISTORY.md', 'src/requests/__version__.py']"
66d21cb07bd6255b1280291c4fafb71803cdb3b7,Nate Prewitt,2026-03-25T07:57:56-07:00,Merge commit from fork,['src/requests/utils.py']
8b9bc8fc0f63be84602387913c4b689f19efd028,Nate Prewitt,2026-03-25T05:18:38+00:00,Move badges to top of README (#7293),['README.md']
e331a288f369973f5de0ec8901c94cae4fa87286,Nate Prewitt,2026-03-24T22:15:21-07:00,Remove unused extraction call (#7292),"['src/requests/adapters.py', 'src/requests/utils.py']"
753fd08c5eacce0aa0df73fe47e49525c67e0a29,rohan436,2026-03-24T19:36:48-06:00,"docs: fix FAQ grammar in httplib2 example

Signed-off-by: rohan436 <rohan.santhoshkumar@googlemail.com>",['docs/community/faq.rst']
